1,0
2,0.0048704
3,0.036913
4,0.11766
5,0.26249
6,0.48064
7,0.77517
8,1.143
9,1.5749
10,2.0556
11,2.5634
12,3.0761
13,3.5888
14,4.1014
15,4.6141
16,5.1268
17,5.6395
18,6.1521
19,6.6648
20,7.1775
21,7.6902
22,8.2029
23,8.7155
24,9.2282
25,9.7409
26,10.254
27,10.766
28,11.279
29,11.792
30,12.304
31,12.817
32,13.33
33,13.842
34,14.355
35,14.868
36,15.38
37,15.893
38,16.406
39,16.918
40,17.431
41,17.944
42,18.456
43,18.969
44,19.482
45,19.994
46,20.507
47,21.02
48,21.533
49,22.045
50,22.558
51,23.071
52,23.583
53,24.096
54,24.609
55,25.121
56,25.634
57,26.147
58,26.659
59,27.172
60,27.685
61,28.197
62,28.71
63,29.223
64,29.735
65,30.248
66,30.761
67,31.273
68,31.786
69,32.299
70,32.811
71,33.324
72,33.837
73,34.349
74,34.862
75,35.375
76,35.888
77,36.4
78,36.913
79,37.426
80,37.938
81,38.451
82,38.964
83,39.476
84,39.989
85,40.502
86,41.014
87,41.527
88,42.04
89,42.552
90,43.065
91,43.578
92,44.09
93,44.603
94,45.116
95,45.628
96,46.141
97,46.654
98,47.166
99,47.679
100,48.192
101,48.704
102,49.217
103,49.73
104,50.243
105,50.755
106,51.268
107,51.781
108,52.289
109,52.77
110,53.202
111,53.571
112,53.867
113,54.086
114,54.232
115,54.313
116,54.346
117,54.351
118,54.351
119,54.351
120,54.351
121,54.351
122,54.351
123,54.351
124,54.363
125,54.442
126,54.64
127,54.996
128,55.533
129,56.257
130,57.162
131,58.224
132,59.405
133,60.654
134,61.915
135,63.175
136,64.436
137,65.696
138,66.957
139,68.218
140,69.478
141,70.739
142,71.999
143,73.26
144,74.52
145,75.781
146,77.042
147,78.302
148,79.558
149,80.764
150,81.862
151,82.812
152,83.586
153,84.172
154,84.575
155,84.813
156,84.919
157,84.943
158,84.943
159,84.943
160,84.943
161,84.943
162,84.943
163,84.943
164,84.945
165,84.953
166,84.973
167,85.01
168,85.066
169,85.142
170,85.236
171,85.346
172,85.469
173,85.599
174,85.73
175,85.862
176,85.993
177,86.124
178,86.255
179,86.386
180,86.517
181,86.649
182,86.78
183,86.911
184,87.042
185,87.173
186,87.305
187,87.436
188,87.567
189,87.698
190,87.829
191,87.961
192,88.092
193,88.223
194,88.354
195,88.485
196,88.616
197,88.748
198,88.879
199,89.01
200,89.141
201,89.272
202,89.404
203,89.535
204,89.666
205,89.797
206,89.928
207,90.059
208,90.191
209,90.322
210,90.453
211,90.584
212,90.715
213,90.847
214,90.978
215,91.109
216,91.24
217,91.371
218,91.502
219,91.629
220,91.746
221,91.848
222,91.933
223,91.998
224,92.044
225,92.071
226,92.085
227,92.089
228,92.089
229,92.089
230,92.089
231,92.089
232,92.089
